Task Name,Byrå ID,Aktuell,TJÄNSTTYP,Beskrivning av riskfaktor,Riskbedömning,Åtgjärd,🔐 Softr Record ID,Last Modified,KUNDDATA,Riskbedömning godkänd datum,Byråer
AVSTÄMNING,,,AVSTÄMNING,Felaktiga underlag kan göra att avstämningarna inte stämmer,Medel,Kontroll att årsbesked stämmer överens med underlag för enskilda transaktioner. Kontroll av engagemangsbesked. Utökad kontroll om andra riskfaktorer finns. Dialog med ansvarig,4UveY3R2JhM9g1iywHv7A6,2025-6-26 1:33pm,,,
Avstämning,MALL,,AVSTÄMNING,"Felaktiga underlag kan göra att avstämningarna inte stämmer. Kan användas för att påverka resultatet och skatten. Dock svårt att använda för penningtvätt eller finansiering av terrorism.

<br/>

**Särskilt om...**

AVSTÄMNING ARBETSGIVARDEKLARATIONER

*   Fiktiva eller felaktiga ersättningar
    
*   Ersättning till anställda som slutat sedan länge eller som inte verkar ha arbetat i verksamheten
    
*   Försäkringar tecknade med förmånstagare som inte arbetar i företaget.
    
    <br/>
    

AVSTÄMNING BALANSKONTON

*   Felaktiga underlag kan leda till att uttag, resultat mm blir felaktigt",Medel,"*   Rutinmässig kontroll att årsbesked stämmer överens med underlag för enskilda transaktioner.
    
*   Kontroll av engagemangsbesked.
    
*   Utökad kontroll om andra riskfaktorer finns.
    
*   Dialog med kunden säkerställer att den anställde verkligen jobbar där. Vaksam vid nyanställda.
    
*   Viktigt med bra kommunikation med ägare/ansvarig.
    
*   Vid stora utbetalningar eller misstanke om att något inte stämmer så kontrolleras kontonumret med banken.
    
*   Vid upplupna kostnader/intäkter ska det alltid finnas en rimlighet. Ifrågasätt varför det inte är fakturerat.",4UveY3R2JhM9g1iywHv7A6,2025-7-15 4:16pm,,,
Avstämning arbetsgivaravgift och personalskatt,,,AVSTÄMNING,Fiktiva eller felaktiga ersättningar Ersättning till anställda som slutat sedan länge eller som inte verkar ha arbetat i verksamheten Försäkringar tecknade med förmånstagare som inte arbetar i företaget.,Låg,Dialog med kunden säkerställer att den anställde verkligen jobbar där. Vaksam vid nyanställda. Viktigt med bra kommunikation med ägare/ansvarig. Vid stora utbetalningar eller misstanke om att ngt inte stämmer så kontrolleras kontonumret med banken.,XMLZ4rVU14sgpRcTLpCCah,2025-6-26 1:33pm,,,
Avstämning av balanskonton,,,AVSTÄMNING,Felaktiga underlag,Låg,Avstämning med övriga bokföring.,FYsYXGqQWwK3WW2vU8cgHe,2025-6-26 1:33pm,,,
Avstämning skattekonto,,,AVSTÄMNING,Ingen särskild risk,Låg,Ingen åtgjärd,Huoi77G8w5WTBXJ9NGdL6a,2025-6-26 1:33pm,,,
Avstämning upplupna kostnader och intäkter,,,"AVSTÄMNING, BOKSLUT",Kan användas för att påverka resultatet och skatten. Dock svårt att använda för penningtvätt eller finansiering av terrorism.,Medel,Det ska finnas en rimlighet. Ifrågasätt varför det inte är fakturerat.,FQrxveajGPB9ar99UKoKFh,2025-6-26 1:33pm,,,
BOKSLUT,,,BOKSLUT,"Byrån har upprättat löpande redovisning 
-Önskemål om ovanliga eller orimliga bokslutsdispositioner för att påverka resultat eller ställning 
-Ovanligt hög omsättning i förhållande till verksamhetens omfattning 
-Ovanliga förändringar i resultat av oklara skäl 
-Investeringar och tillskott som inte stämmer överens med kundens ekonomi eller förväntade beteende 
-Transaktioner sker med förlust när detta inte har någon naturlig förklaring eller verkar bekymra företagsledningen 
-Avstämningar med närstående personer och bolag indikerar ovanliga eller oväntade transaktioner 

Extern byrå har upprättat löpande redovisning (tillkommande risker) 
-Extern byrå har inte tillräckligt effektiva rutiner för att fånga misstänkta transaktioner, se risker ovan 
-Byråns rimlighetsbedömningar fångar inte in misstänkta transaktioner Kunden gör löpande redovisning själv (tillkommande risker) 
-Byråns rimlighetsbedömningar och kontroller av underlag fångar inte in misstänkta transaktioner",Medel,"Genom att känna till bolaget så kan vi avgöra om det är ngt som är orimligt.
Misstänkta transaktioner ifrågasätts.
Vi följer god redovisningssed vad det gäller bokslutsdispositioner.",GPD6j7xVyrpmPjhAdd7qvY,2025-7-5 8:27pm,,,
Deklaration,MALL,,DEKLARATION,"*   Fiktiva/felaktiga underskottsavdrag
    
*   Biträde med andra bilagor än de som baseras på redovisningen
    
*   Fiktiva / felaktiga underlag
    
*   Byrån saknar tillräcklig kunskap om den verksamhet som ska deklareras
    
*   Skattemässiga justeringar
    
*   Felaktiga ingångsvärden
    
*   Upprätta K10 i fler bolag än de som omfattas av uppdraget
    
*   Felaktiga underlag för andra bolag som inte fångas av rimlighetsbedömning
    
*   Upprätta K10 eller inkomstdeklaration för t.ex. ägare
    
*   Byrån har inte full insyn i kundens verksamhet.",Medel,"*   Underskott kontrolleras innan de används.
    
*   Ingångsvärden kontrolleras vid ny kund
    
*   Vi känner våra bolag
    
*   Vi gör inte deklaration om vi inte gjort bokslut.",ENCPie5ont7bwoKkNAdJtt,2025-7-5 10:42pm,,,
Upprätta inkomstdeklaration för bolaget,,,DEKLARATION,SE DEKLARATION,Medel,Misstänkta transaktioner ifrågasätts.,2JNzvfBzQxcShK44jAejuq,2025-6-26 1:33pm,,,
"Upprätta inkomstdeklaration för delägare , K10",,,DEKLARATION,Felaktiga ingångsvärden Byrån har inte full insyn i kundens verksamhet.,Medel,Vi följer god redovisningssed vad det gäller,DPpD97P4YgeUsD1HWbaz5x,2025-6-26 1:33pm,,,
Upprätta NE bilaga,,,DEKLARATION,Skattemässiga justeringar Fiktiva/felaktiga underskottsavdrag,Medel,bokslutsdispositioner.,E8L8qL6U4QdGVyW1sjn1JR,2025-6-26 1:33pm,,,
Kundreskontra,MALL,,KUNDRESKONTRA,"*   Fiktiva eller felaktiga fakturor registreras vilket kan medföra att transaktioner som kan innefatta penningtvätt ingår i bokföringen
    
*   Onormalt mycket kreditfakturor
    
*   Kontantfakturor där det inte är motiverat
    
*   Kundfakturor som verkar sakna affärsmässighet
    
*   Plötslig ökning av fakturor eller värdet på fakturor till en viss mottagare utan rimlig förklaring
    
*   Försäljningsfakturor och inköpsfakturor för samma transaktion, på samma eller näst intill identiska belopp
    
*   Storlek eller frekvens av fakturor är inte konsekvent med kundens normala transaktionsmönster
    
*   Orimligt höga eller låga priser i förhållande till marknadspriser
    
*   Överdrivna eller ovanliga provisioner eller ersättningar till agenter/återförsäljare
    
*   Fakturor till kunder i högriskländer som kan vara felaktiga och därmed dölja betalningar till Sverige som innefattar penningtvätt",Medel,"*   Vaksamhet vid förändringar i fakturering, kontrollera vad det är som orsakar förändringen.
    
*   Ifrågasätt om kunden tar betalt på ovanliga sätt.
    
*   Stärkt vaksamhet vid fakturering till högriskländer.
    
*   Större kassaflöden (över 50 000 kr årligen eller omotiverat stora i förhållande till företagets storlek) med högriskländer kontrolleras alltid genom PEP sökning och sanktionslistor.",KSapA1JZnvksyVDWxms8SF,2025-7-5 9:29pm,,,
Avstämning av kundreskontra,,,KUNDRESKONTRA,SE risker kundreskontra,Medel,SE risker kundreskontra,JDrPDWM2HqZHqHj2jwoKoF,2025-6-26 1:33pm,,,
ROT/RUT-hantering,MALL,,KUNDRESKONTRA,"*   RIsk att inbetalningen bygger på felaktiga underlag från kunden.
    
*   Fiktiva eller felaktiga ansökningar om ROT/RUT-avdrag kan användas för att legitimera pengar från olagliga aktiviteter, genom att skapa skenbara tjänster som inte utförts. Detta innebär en direkt risk för att pengar flyttas och legitimeras under falska premisser.",Hög,"*   Kontrollera att fakturamottagaren på utställda fakturor matchar betalaren på bank-girot.
    
*   Kontrollera att det finns trovärdiga fakturor som underlag
    
*   Kontrollera att fakturamottagarens uppgifter överenstämmer med betalaren till Bankgirot.
    
*   Kontrollera att det är ansökt för rätt bidrag, RUT ger högre skattereduktion så det kan vara fördelaktigt att söka på det istället för ROT.",94yBu181oQo92C4dsKLbHy,2025-7-15 11:50am,,,
Inlämning periodisk sammanställning,MALL,,KUNDRESKONTRA,*   Felaktigheter här kan leda till att moms behandlas fel mellan länder.,Medel,*   Kontrollera att kunden är samma som betalat fakturan.,PeUQDKvnYMTbKmZ9BZptiD,2025-7-5 9:27pm,,,
Rot / Rutansökan,,,KUNDRESKONTRA,"Fiktiva eller felaktiga ansökningar om ROT/RUT-avdrag kan användas för att legitimera pengar från olagliga aktiviteter, genom att skapa skenbara tjänster som inte utförts. Detta innebär en direkt risk för att pengar flyttas och legitimeras under falska premisser.",Hög,"Kontrollera att det finns trovärdiga fakturor som underlag Kontrollera att fakturamottagarens uppgifter överenstämmer med betalaren till Bankgirot. Kontrollera att det är ansökt för sätt bidrag, RUT ger högre skattereduktion så det kan vara fördelaktigt att söka på det istället för ROT.",EqTUTFmNqcRzgqw4j4cUCf,2025-6-26 1:33pm,,,
Upprättande av fakturor,,,KUNDRESKONTRA,Se risker Kundreskontra,Medel,Se risker Kundreskontra,3D7oYJuro5AEeYJqKvveHT,2025-6-26 1:33pm,,,
lönehantering,MALL,,LÖNEHANTERING,"*   Fiktiva eller felaktiga ersättningar
    
*   Ersättning till anställda som slutat sedan länge eller som inte verkar ha arbetat i verksamheten
    
*   Försäkringar tecknade med förmånstagare som inte arbetar i företaget.
    
*   Utbetalningar kan ha gått till annan person än den som uppges
    
*   Orimligt hög andel tillfälligt anställda när det inte är motiverat av affärsverksamheten
    
*   Anställda bosatta utomlands / saknar personnummer när det inte är motiverat av affärsverksamheten",Medel,"*   Dialog med kunden säkerställer att den anställde verkligen jobbar där.
    
*   Vaksam vid nyanställda.
    
*   Viktigt med bra kommunikation med ägare/ansvarig.
    
*   Vid stora utbetalningar eller misstanke om att ngt inte stämmer så kontrolleras kontonumret med banken.
    
*   Ansvarig på företaget attesterar löner innan utbetalning",8EYbwa3BT8SFZiZoUgRgMD,2025-7-5 9:32pm,,,
Betalning av arbetsgivaravgifter och personalskatt,,,LÖNEHANTERING,Utbetalning har skett till andra personer eller med andra belopp än vad som framgår av underlag,Medel,Ifrågasätt vad differenser beror på. Kontrollera om det är nåt som verkar konstigt. T ex att antalet anställda ökar men inte omsättningen.,ALCEv3A3bnXthVwYM1sX4f,2025-6-26 1:33pm,,,
Bokföring av löner,,,LÖNEHANTERING,Utbetalning har skett till andra personer eller med andra belopp än vad som framgår av underlag,Medel,Känn företaget,EbPvCtmVrTPFV8xrKAqGGq,2025-6-26 1:33pm,,,
Inlämning arbetsgivardeklaration,,,LÖNEHANTERING,felaktiga underlag medför felaktiga kontrolluppgifter,Medel,Genom att säkerställa att underlagen är korrekta enligt ovan riskfaktorer minimeras risken i denna punkt,CJ3iea8v1hooFn6hxi4848,2025-6-26 1:33pm,,,
Kontrolluppgifter,,,LÖNEHANTERING,felaktiga underlag medför felaktiga kontrolluppgifter,Medel,Genom att säkerställa att underlagen är korrekta enligt ovan riskfaktorer minimeras risken i denna punkt,NcJMTNxhMBZMVbWpHEFYnS,2025-6-26 1:33pm,,,
Löneberäkningar,,,LÖNEHANTERING,Fiktiva eller orimliga ersättningar till anställda Utbetalning till fiktivt anställda Orimligt hög andel tillfälligt anställda när det inte är motiverat av affärsverksamheten Anställda bosatta utomlands / saknar personnummer när det inte är motiverat av affärsverksamheten,Medel,"Ha koll på företagets verksamhet och personal, vad gör de för arbeten. Ifrågasätt löner som verkar konstiga.",7tDqwbxULy3T7sZ3tsjXuN,2025-6-26 1:33pm,,,
Utbetalning av löner,,,LÖNEHANTERING,Felaktiga underlag,Medel,Låt ansvarig på företaget attestera. Vaksam vid nyanställda. Viktigt med bra kommunikation med ägare/ansvarig.,7X8t65iSapgcbdfzFuj96h,2025-6-26 1:33pm,,,
Utskick lönebesked,,,LÖNEHANTERING,Ingen särskild risk för penningtvätt/terrorism,Låg,"Säkerställ korrektheten innan utskick, t ex via attest av ansvarig eller kollega.",TQSg1W2795xjstgkqHpgRZ,2025-6-26 1:33pm,,,
